"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2791","dialog","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:25 IST 2025","","handlingAlerts.spec.js","",""
"","20484","GetNo.OfLinks","chromium","Wed Jul 16 22:21:25 IST 2025","failed","Wed Jul 16 22:21:45 IST 2025","","InteractMultipleElements.spec.js","",""
"","3297","locator screenshot","chromium","Wed Jul 16 22:21:32 IST 2025","passed","Wed Jul 16 22:21:35 IST 2025","","screenShotInPW.spec.js","",""
"","1194","myfirstScript","chromium","Wed Jul 16 22:21:28 IST 2025","failed","Wed Jul 16 22:21:30 IST 2025","","sampleTest.spec.js","",""
"","6757","soft","firefox","Wed Jul 16 22:10:36 IST 2025","failed","Wed Jul 16 22:10:43 IST 2025","","soft_hard_assertions.spec.js","",""
"","3845","getByLabel","chromium","Wed Jul 16 22:21:18 IST 2025","passed","Wed Jul 16 22:21:21 IST 2025","","builtInLocatorFunctions.spec.js","",""
"","1800","assertions","chromium","Wed Jul 16 22:21:18 IST 2025","passed","Wed Jul 16 22:21:19 IST 2025","","assertionsInPW.spec.js","",""
"","8581","checkbox handling","chromium","Wed Jul 16 22:21:20 IST 2025","passed","Wed Jul 16 22:21:28 IST 2025","","checkboxes.spec.js","",""
"","6089","hard_soft","chromium","Wed Jul 16 22:21:33 IST 2025","failed","Wed Jul 16 22:21:39 IST 2025","","soft_hard_assertions.spec.js","",""
"","651","get started link","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:22 IST 2025","","example.spec.js","",""
"","5298","getByPlaceholder | getByText","chromium","Wed Jul 16 22:21:18 IST 2025","passed","Wed Jul 16 22:21:23 IST 2025","","builtInLocatorFunctions.spec.js","",""
"","4449","PromptAlert","firefox","Wed Jul 16 22:10:32 IST 2025","passed","Wed Jul 16 22:10:37 IST 2025","","handlingAlerts.spec.js","",""
"","4145","locator screenshot","firefox","Wed Jul 16 22:10:32 IST 2025","passed","Wed Jul 16 22:10:36 IST 2025","","screenShotInPW.spec.js","",""
"","4387","test","chromium","Wed Jul 16 22:21:28 IST 2025","passed","Wed Jul 16 22:21:33 IST 2025","","recordedScript.spec.js","",""
"","3867","getByRole","chromium","Wed Jul 16 22:21:18 IST 2025","passed","Wed Jul 16 22:21:21 IST 2025","","builtInLocatorFunctions.spec.js","",""
"","5961","soft","chromium","Wed Jul 16 22:21:33 IST 2025","failed","Wed Jul 16 22:21:39 IST 2025","","soft_hard_assertions.spec.js","",""
"","3755","locators method","chromium","Wed Jul 16 22:21:26 IST 2025","passed","Wed Jul 16 22:21:30 IST 2025","","locators.spec.js","",""
"","4031","getByAlttext","chromium","Wed Jul 16 22:21:18 IST 2025","passed","Wed Jul 16 22:21:22 IST 2025","","builtInLocatorFunctions.spec.js","",""
"","3689","handling dropdown","chromium","Wed Jul 16 22:21:23 IST 2025","passed","Wed Jul 16 22:21:27 IST 2025","","handlingDropdown.spec.js","",""
"","3705","PromptAlert","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:26 IST 2025","","handlingAlerts.spec.js","",""
"","491","has title","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:22 IST 2025","","example.spec.js","",""
"","3235","fullPage screenshot","chromium","Wed Jul 16 22:21:30 IST 2025","passed","Wed Jul 16 22:21:33 IST 2025","","screenShotInPW.spec.js","",""
"","6781","soft","webkit","Wed Jul 16 22:10:38 IST 2025","failed","Wed Jul 16 22:10:45 IST 2025","","soft_hard_assertions.spec.js","",""
"","50","dateFromatDynamicName","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:22 IST 2025","","dateFormat.spec.js","",""
"","3898","PromptAlert","webkit","Wed Jul 16 22:10:37 IST 2025","passed","Wed Jul 16 22:10:41 IST 2025","","handlingAlerts.spec.js","",""
"","3924","locator screenshot","webkit","Wed Jul 16 22:10:38 IST 2025","passed","Wed Jul 16 22:10:42 IST 2025","","screenShotInPW.spec.js","",""
"","6217","ConfirmationAlert","chromium","Wed Jul 16 22:21:22 IST 2025","passed","Wed Jul 16 22:21:28 IST 2025","","handlingAlerts.spec.js","",""
"","3240","fileUploadScenario","chromium","Wed Jul 16 22:21:33 IST 2025","passed","Wed Jul 16 22:21:37 IST 2025","","uploadFile.spec.js","",""
"","5168","test","chromium","Wed Jul 16 22:21:27 IST 2025","passed","Wed Jul 16 22:21:32 IST 2025","","mytest.spec.js","",""
"","3387","pageview screenshot","chromium","Wed Jul 16 22:21:30 IST 2025","passed","Wed Jul 16 22:21:33 IST 2025","","screenShotInPW.spec.js","",""
